game_date,player_name,batter,pitcher,outs_when_up,inning,hc_x,hc_y
2024-05-18,Kody Clemens,665019,640448,2,9,165.45,36.64
2024-07-03,Luis García Jr.,671277,686654,1,8,117.53,28.04
2024-05-31,Davis Schneider,676914,693312,2,14,201.88,70.01
2024-07-20,Bryce Harper,547180,670280,1,9,183.72,35.33
2024-08-07,Wenceel Pérez,672761,669923,0,1,213.41,83.41
2024-03-28,Royce Lewis,668904,666142,2,1,47.18,46.5
2024-08-15,Mark Vientos,668901,671305,1,4,209.53,73.98
2024-07-05,Rhys Hoskins,656555,607192,1,4,97.14,43.68
2024-07-21,Paul Goldschmidt,502671,680885,2,2,30.3,85.61
2024-07-13,Corbin Carroll,682998,663878,2,8,201.58,66.91
2024-06-14,Charlie Blackmon,453568,670280,2,9,210.88,54.66
2024-09-11,Matt Wallner,670242,686799,1,1,86.43,27.18
2024-08-27,Bryan De La Cruz,650559,663878,0,6,129.29,26.61
2024-08-27,Paul DeJong,657557,668909,1,2,165.41,48.43
2024-10-26,Teoscar Hernández,606192,607074,2,3,185.58,47.23
2024-08-19,Francisco Alvarez,682626,622554,1,9,97.95,30.77
2024-08-16,Ramón Urías,602104,472610,0,7,149.03,35.23
2024-06-19,Michael Toglia,669911,676272,2,1,87.81,30.28
2024-08-29,Colton Cowser,681297,676272,2,5,93.97,41.59
2024-08-18,Adolis García,666969,660896,1,7,70.91,51.45
2024-08-10,Jake Burger,669394,670970,2,8,203.62,69.05
2024-04-05,Dansby Swanson,621020,676272,1,2,100.37,44.14
2024-08-23,Brendan Donovan,680977,660896,0,6,169.79,37.28
2024-04-23,José Ramírez,608070,592155,0,8,217.22,84.79
2024-06-30,Brandon Nimmo,607043,650556,2,7,74.38,40.42
2024-09-08,Pavin Smith,656976,672391,0,5,240.27,86.59
2024-06-29,Jake Meyers,676694,656731,1,2,221.68,94.8
2024-08-04,Kyle Schwarber,656941,669302,0,1,236.01,63.84
2024-09-04,Mickey Moniak,666160,676272,0,1,196.43,36.05
2024-07-21,Jackson Chourio,694192,660896,0,7,44.64,38.5
2024-08-18,James Wood,695578,656546,1,9,192.22,43.2
2024-04-10,José Caballero,676609,667755,0,2,25.82,58.74
2024-07-29,Ketel Marte,606466,640448,0,9,231.37,77.18
2024-08-16,Rafael Devers,646240,669203,0,3,158.8,40.67
2024-05-12,Yandy Díaz,650490,641656,0,9,195.53,60.65
2024-04-02,Bryan De La Cruz,650559,472610,1,9,155.64,40.39
2024-07-14,Travis d'Arnaud,518595,669093,2,8,100.31,20.52
2024-06-24,David Hamilton,666152,663878,1,8,220.93,64.04
2024-09-24,Kyle Schwarber,656941,669713,0,8,167.16,42.76
2024-04-10,Edouard Julien,666397,676272,0,1,42.2,76.35
2024-06-15,Paul DeJong,657557,600986,0,4,172.44,39.38
2024-08-06,Jake Cave,595909,622663,2,4,40.06,74.81
2024-08-07,Jackson Merrill,701538,670280,1,9,164.89,37.41
2024-05-12,Patrick Wisdom,621550,547973,2,10,139.18,32.88
2024-07-02,Austin Riley,663586,806185,1,2,22.92,69.15
2024-09-15,Tyler O'Neill,641933,607074,1,4,52.54,54.94
2024-06-02,Juan Soto,665742,666808,1,9,205.44,58.59
2024-07-26,Paul Goldschmidt,502671,640448,2,10,51.93,55.84
2024-06-05,Rafael Devers,646240,678061,0,7,51.44,73.23
2024-09-24,Alex Bregman,608324,669302,2,1,115.05,27.72
2024-04-23,Mike Trout,545361,680570,0,1,159.11,44.33
2024-07-29,Jeimer Candelario,600869,663878,1,8,218.6,64.21
2024-04-09,Isaac Paredes,670623,542585,2,7,19.32,93.08
2024-06-14,Alex Verdugo,657077,678394,2,1,106.01,35.94
2024-09-04,Cody Bellinger,641355,693312,2,6,108.6,39.69
2024-07-30,José Ramírez,608070,671345,2,8,218.27,79.69
2024-07-13,Elly De La Cruz,682829,665795,2,3,112.8,27.22
2024-07-03,Willson Contreras,575929,670059,1,8,88.16,32.38
2024-08-16,Yasmani Grandal,518735,669302,1,5,202.54,54.28
2024-08-11,Jorge Polanco,593871,622663,0,2,100.11,32.67
2024-09-02,Eugenio Suárez,553993,656848,2,8,75.86,28.76
2024-06-14,Zach Neto,687263,678495,1,4,65.54,42.23
2024-05-18,Kyle Isbel,664728,668674,0,7,166.57,37.41
2024-10-10,David Fry,681807,689225,2,7,52.46,62.7
2024-07-05,Bryan Reynolds,668804,622663,1,5,186.21,46.91
2024-06-23,Christopher Morel,666624,673380,0,7,146.85,30.49
2024-08-08,Luis García Jr.,671277,666808,2,9,27.35,96.29
2024-08-31,Jackson Chourio,694192,458677,1,9,202.23,63.38
2024-08-05,Romy Gonzalez,663853,672582,0,7,102.28,17.25
2024-05-11,Kerry Carpenter,681481,686613,1,4,54.65,61.03
2024-04-08,Xander Bogaerts,593428,681432,2,6,48.23,67.26
2024-07-09,Adolis García,666969,472610,1,8,199.82,52.36
2024-05-26,Alex Verdugo,657077,663158,0,9,37.4,87.53
2024-09-28,Dane Myers,667472,650893,1,8,98.08,36.77
2024-07-08,Matt Wallner,670242,673929,1,7,239.62,88.23
2024-07-07,George Springer,543807,592773,1,7,172.85,44.19
2024-08-30,Taylor Ward,621493,669923,0,1,207.89,70.3
2024-08-02,William Contreras,661388,606930,1,7,111.79,21.53
2024-07-05,Yasmani Grandal,518735,686654,1,8,145.04,33.17
2024-06-22,Brice Turang,668930,666745,2,9,26.28,86.31
2024-05-21,Dylan Moore,664238,595897,0,9,187.37,63.57
2024-06-08,Aaron Judge,592450,694813,1,3,56.97,58.7
2024-07-01,Brenton Doyle,686668,665625,2,8,216.99,73.52
2024-09-25,Nico Hoerner,663538,614179,0,6,55.75,70.83
2024-07-07,Eugenio Suárez,553993,656302,2,7,39.91,85.1
2024-09-22,Fernando Tatis Jr.,665487,686642,1,8,46.89,62.61
2024-07-10,Tyler Stephenson,663886,680767,0,9,72.5,47.23
2024-06-10,Cal Raleigh,663728,673929,1,9,225.4,78.97
2024-08-13,Jesús Sánchez,660821,608032,2,9,201.56,54.9
2024-05-10,Carlos Santana,467793,579328,0,5,224.82,101.36
2024-06-01,Jordan Westburg,676059,671737,0,2,135.39,31.87
2024-09-16,Kyle Manzardo,700932,643377,1,8,220.27,62.85
2024-08-07,Cal Raleigh,663728,669373,1,4,100.56,27.88
2024-04-24,Aaron Judge,592450,671212,1,1,203.42,69.1
2024-09-18,Will Smith,669257,677960,1,2,,
2024-09-05,Adolis García,666969,686799,1,1,176.24,49.79
2024-05-14,Connor Joe,656582,656730,2,9,38.8,71.9
